"subsample_ID","model","metric","value"
1,"Random Forest","balanced_accuracy",0.69263775971093
1,"Random Forest","roc_auc",0.770720415537489
1,"Random Forest","pr_auc",0.380155638571214
1,"Random Forest","f1",0.288288288288288
1,"Random Forest","recall",0.592592592592593
1,"Random Forest","precision",0.19047619047619
1,"Random Forest","specificity",0.792682926829268
1,"Random Forest","mcc",0.240306727964452
1,"SBM","balanced_accuracy",0.594455736224029
1,"SBM","roc_auc",0.630758807588076
1,"SBM","pr_auc",0.337246044575534
1,"SBM","f1",0.175438596491228
1,"SBM","recall",0.740740740740741
1,"SBM","precision",0.0995024875621891
1,"SBM","specificity",0.448170731707317
1,"SBM","mcc",0.101045911972441
1,"Matching_Centrality","balanced_accuracy",0.67090108401084
1,"Matching_Centrality","roc_auc",0.733965672990063
1,"Matching_Centrality","pr_auc",0.323027961362143
1,"Matching_Centrality","f1",0.219895287958115
1,"Matching_Centrality","recall",0.777777777777778
1,"Matching_Centrality","precision",0.128048780487805
1,"Matching_Centrality","specificity",0.564024390243902
1,"Matching_Centrality","mcc",0.181741877130731
1,"TLP","balanced_accuracy",0.583672086720867
1,"TLP","roc_auc",0.772357723577236
1,"TLP","pr_auc",0.395141553409708
1,"TLP","f1",0.235294117647059
1,"TLP","recall",0.222222222222222
1,"TLP","precision",0.25
1,"TLP","specificity",0.945121951219512
1,"TLP","mcc",0.176689109511655
3,"Random Forest","balanced_accuracy",0.566265060240964
3,"Random Forest","roc_auc",0.622861445783133
3,"Random Forest","pr_auc",0.330109681604322
3,"Random Forest","f1",0.1
3,"Random Forest","recall",0.2
3,"Random Forest","precision",0.0666666666666667
3,"Random Forest","specificity",0.932530120481928
3,"Random Forest","mcc",0.0784295035467353
3,"SBM","balanced_accuracy",0.588855421686747
3,"SBM","roc_auc",0.610933734939759
3,"SBM","pr_auc",0.343231695446642
3,"SBM","f1",0.0705882352941176
3,"SBM","recall",0.45
3,"SBM","precision",0.0382978723404255
3,"SBM","specificity",0.727710843373494
3,"SBM","mcc",0.0602277283547189
3,"Matching_Centrality","balanced_accuracy",0.58433734939759
3,"Matching_Centrality","roc_auc",0.550361445783133
3,"Matching_Centrality","pr_auc",0.327433277312678
3,"Matching_Centrality","f1",0.0727272727272727
3,"Matching_Centrality","recall",0.4
3,"Matching_Centrality","precision",0.04
3,"Matching_Centrality","specificity",0.768674698795181
3,"Matching_Centrality","mcc",0.0602743188473465
3,"TLP","balanced_accuracy",0.565060240963855
3,"TLP","roc_auc",0.601415662650602
3,"TLP","pr_auc",0.330109681604322
3,"TLP","f1",0.0718562874251497
3,"TLP","recall",0.3
3,"TLP","precision",0.0408163265306122
3,"TLP","specificity",0.830120481927711
3,"TLP","mcc",0.0521510884729416
5,"Random Forest","balanced_accuracy",0.704892966360856
5,"Random Forest","roc_auc",0.791539245667686
5,"Random Forest","pr_auc",0.380355281432981
5,"Random Forest","f1",0.27906976744186
5,"Random Forest","recall",0.666666666666667
5,"Random Forest","precision",0.176470588235294
5,"Random Forest","specificity",0.743119266055046
5,"Random Forest","mcc",0.240166510394416
5,"SBM","balanced_accuracy",0.44750254841998
5,"SBM","roc_auc",0.438328236493374
5,"SBM","pr_auc",0.337359976614072
5,"SBM","f1",0.116279069767442
5,"SBM","recall",0.555555555555556
5,"SBM","precision",0.0649350649350649
5,"SBM","specificity",0.339449541284404
5,"SBM","mcc",-0.0585282353381455
5,"Matching_Centrality","balanced_accuracy",0.567278287461774
5,"Matching_Centrality","roc_auc",0.611111111111111
5,"Matching_Centrality","pr_auc",0.339636736254815
5,"Matching_Centrality","f1",0.164383561643836
5,"Matching_Centrality","recall",0.666666666666667
5,"Matching_Centrality","precision",0.09375
5,"Matching_Centrality","specificity",0.467889908256881
5,"Matching_Centrality","mcc",0.0716890063088627
5,"TLP","balanced_accuracy",0.523445463812436
5,"TLP","roc_auc",0.711518858307849
5,"TLP","pr_auc",0.397342960946796
5,"TLP","f1",0.117647058823529
5,"TLP","recall",0.111111111111111
5,"TLP","precision",0.125
5,"TLP","specificity",0.935779816513762
5,"TLP","mcc",0.049508753481583
7,"Random Forest","balanced_accuracy",0.616573033707865
7,"Random Forest","roc_auc",0.700140449438202
7,"Random Forest","pr_auc",0.386102191094195
7,"Random Forest","f1",0.2
7,"Random Forest","recall",0.75
7,"Random Forest","precision",0.115384615384615
7,"Random Forest","specificity",0.48314606741573
7,"Random Forest","mcc",0.128605683686611
7,"SBM","balanced_accuracy",0.333567415730337
7,"SBM","roc_auc",0.621488764044944
7,"SBM","pr_auc",0.334244861615554
7,"SBM","f1",0.0810810810810811
7,"SBM","recall",0.375
7,"SBM","precision",0.0454545454545455
7,"SBM","specificity",0.292134831460674
7,"SBM","mcc",-0.196361135350056
7,"Matching_Centrality","balanced_accuracy",0.372893258426966
7,"Matching_Centrality","roc_auc",0.641151685393258
7,"Matching_Centrality","pr_auc",0.334409913204442
7,"Matching_Centrality","f1",0.0895522388059702
7,"Matching_Centrality","recall",0.375
7,"Matching_Centrality","precision",0.0508474576271186
7,"Matching_Centrality","specificity",0.370786516853933
7,"Matching_Centrality","mcc",-0.143258623498579
