"fold","network","community","metric","value"
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","roc_auc",0.841915085817525
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","pr_auc",0.380155638571214
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","recall",0.740740740740741
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","precision",0.192307692307692
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","specificity",0.74390243902439
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","f1",0.305343511450382
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","balanced_accuracy",0.742321589882565
4,"M_SD_Snow_1988_SON","Plant-Seed Dispersers","mcc",0.282284725482766
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","roc_auc",0.775481927710843
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","pr_auc",0.330109681604322
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","recall",0.3
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","precision",0.0674157303370786
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","specificity",0.9
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","f1",0.110091743119266
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","balanced_accuracy",0.6
3,"M_PL_Magrach2017_UK_2011_low","Plant-Pollinator","mcc",0.0990140233322037
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","roc_auc",0.793577981651376
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","pr_auc",0.380355281432981
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","recall",0.444444444444444
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","precision",0.153846153846154
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","specificity",0.798165137614679
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","f1",0.228571428571429
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","balanced_accuracy",0.621304791029562
4,"M_SD_Novoa_2011","Plant-Seed Dispersers","mcc",0.155368103912098
2,"M_PL_Lara-Romero_2016_penalara-Pasture-5","Plant-Pollinator","roc_auc",0.580758426966292
2,"M_PL_Lara-Romero_2016_penalara-Pasture-5","Plant-Pollinator","pr_auc",0.386102191094195
2,"M_PL_Lara-Romero_2016_penalara-Pasture-5","Plant-Pollinator","recall",0.375
2,"M_PL_Lara-Romero_2016_penalara-Pasture-5","Plant-Pollinator","precision",0.136363636363636
2,"M_PL_Lara-Romero_2016_penalara-Pasture-5","Plant-Pollinator","specificity",0.786516853932584
