"average_neighbor_degree_HL","betweenness_centrality_HL","betweenness_HL","closeness_centrality_HL","closeness_HL","d_HL","degree_centrality_HL","degree_HL","Fisher.alpha_HL","generality.HL","hits_authorities_HL","hits_hubs_HL","interaction.push.pull_HL","isolate_HL","latapy_clustering_HL","nestedrank_HL","niche.overlap.HL","node.specialisation.index.NSI_HL","node_redundancy_HL","pagerank_HL","PDI_HL","robustness.HL","species.specificity.index_HL","species.strength_HL","V.ratio.HL"
20,0,0,0.581,0.05,0,0.0435,1,134217776.500017,6.6,-0.0956,0.0102,-0.95,NA,0.2237,0.947368421052632,0.452179447397848,1,NA,0.0066,1,0.734398512162533,1,0.05,4.11550151975684
7.6,0.0661,0,0.6289,0.05,0.407898007225044,0.2174,5,2147483650.5,6.6,-0.1857,0.0198,0.161515151515152,NA,0.1885,0.684210526315789,0.452179447397848,1,0.5,0.0242,0.818181818181818,0.734398512162533,0.404519917477945,1.80757575757576,4.11550151975684
9.5,0.0799,0,0.7011,0.05,0.116096252571482,0.4348,10,2147483653,6.6,-0.5623,0.0601,0.1120670995671,NA,0.3689,0.157894736842105,0.452179447397848,1,0.8,0.0364,0.590909090909091,0.734398512162533,0.243086217402199,2.120670995671,4.11550151975684
10.2222,0.0282,0,0.6854,0.05,0.0376533976684071,0.3913,9,2147483652.5,6.6,-0.5437,0.0581,0.00436507936507937,NA,0.3863,0.263157894736842,0.452179447397848,1,1,0.0304,0.636363636363636,0.734398512162533,0.265908011739155,1.03928571428571,4.11550151975684
17,4e-04,0,0.5922,0.05,0,0.087,2,268435505.000009,6.6,-0.1739,0.0186,-0.439285714285714,NA,0.2895,0.894736842105263,0.452179447397848,1,1,0.0096,0.954545454545455,0.734398512162533,0.690849279707758,0.121428571428571,4.11550151975684
10.5,0.0331,0,0.6421,0.05,0.159226578752607,0.2609,6,1073741869.66667,6.6,-0.3402,0.0363,-0.00627705627705627,NA,0.3139,0.526315789473684,0.452179447397848,1,0.8667,0.0232,0.772727272727273,0.734398512162533,0.358870281282637,0.962337662337662,4.11550151975684
11.5714,0.015,0,0.6559,0.05,0.0296953603117279,0.3043,7,536870961.21429,6.6,-0.4644,0.0496,-0.0446660482374768,NA,0.3931,0.473684210526316,0.452179447397848,1,1,0.0244,0.727272727272727,0.734398512162533,0.322329185610152,0.687337662337662,4.11550151975684
9.3333,0.0143,0,0.6421,0.05,0.165529010915531,0.2609,6,1073741869.66667,6.6,-0.3253,0.0348,-0.0317460317460317,NA,0.251,0.578947368421053,0.452179447397848,1,1,0.0218,0.772727272727273,0.734398512162533,0.358870281282637,0.80952380952381,4.11550151975684
11,0.0163,0,0.6162,0.05,0.174781410778441,0.1739,4,2147483650,6.6,-0.2258,0.0241,-0.100595238095238,NA,0.2622,0.736842105263158,0.452179447397848,1,0.8333,0.0168,0.863636363636364,0.734398512162533,0.464660188642293,0.597619047619048,4.11550151975684
9.7778,0.0327,0,0.6854,0.05,0.0781167694175277,0.3913,9,2147483652.5,6.6,-0.5264,0.0562,0.0255291005291005,NA,0.3633,0.210526315789474,0.452179447397848,1,1,0.0309,0.636363636363636,0.734398512162533,0.265908011739155,1.2297619047619,4.11550151975684
11.25,0.0207,0,0.6703,0.05,0.0175720829279011,0.3478,8,2147483652,6.6,-0.5253,0.0561,-0.0224161255411255,NA,0.4149,0.315789473684211,0.452179447397848,1,1,0.0273,0.681818181818182,0.734398512162533,0.291937104060571,0.820670995670996,4.11550151975684
20,0,0,0.581,0.05,0,0.0435,1,134217776.500017,6.6,-0.0956,0.0102,-0.95,NA,0.2237,1,0.452179447397848,1,NA,0.0066,1,0.734398512162533,1,0.05,4.11550151975684
8.2,0.1072,0,0.7011,0.05,0.241101863743964,0.4348,10,2147483653,6.6,-0.47,0.0502,0.187186147186147,NA,0.2905,0.105263157894737,0.452179447397848,1,0.8,0.0399,0.590909090909091,0.734398512162533,0.243086217402199,2.87186147186147,4.11550151975684
7.5714,0.1679,0,0.7722,0.05,0.15799792284265,0.6087,14,4294967303,6.6,-0.6315,0.0675,0.200371057513915,NA,0.3099,0,0.452179447397848,1,0.7253,0.0528,0.409090909090909,0.734398512162533,0.170940864689457,3.80519480519481,4.11550151975684
12.2,0.0075,0,0.6289,0.05,0.0540668979198156,0.2174,5,2147483650.5,6.6,-0.3398,0.0363,-0.104199134199134,NA,0.3352,0.631578947368421,0.452179447397848,1,1,0.0186,0.818181818181818,0.734398512162533,0.404519917477945,0.479004329004329,4.11550151975684
8.3571,0.1093,0,0.7722,0.05,0.0378222677163868,0.6087,14,4294967303,6.6,-0.7047,0.0753,0.104537724180581,NA,0.3665,0.0526315789473684,0.452179447397848,1,0.8791,0.0478,0.409090909090909,0.734398512162533,0.170940864689457,2.46352813852814,4.11550151975684
10.8571,0.0143,0,0.6559,0.05,0.0570176528298213,0.3043,7,536870961.21429,6.6,-0.446,0.0476,-0.0380333951762523,NA,0.3445,0.421052631578947,0.452179447397848,1,1,0.0244,0.727272727272727,0.734398512162533,0.322329185610152,0.733766233766234,4.11550151975684
9.75,0.0682,0,0.6703,0.05,0.169478478896279,0.3478,8,2147483652,6.6,-0.4548,0.0486,0.107886904761905,NA,0.3341,0.368421052631579,0.452179447397848,1,0.75,0.0306,0.681818181818182,0.734398512162533,0.291937104060571,1.86309523809524,4.11550151975684
15,0.0015,0,0.604,0.05,0.0107160876809818,0.1304,3,536870956.16667,6.6,-0.236,0.0252,-0.262554112554113,NA,0.3261,0.789473684210526,0.452179447397848,1,1,0.0126,0.909090909090909,0.734398512162533,0.55048188256318,0.212337662337662,4.11550151975684
12.6667,0.0024,0,0.604,0.05,0.0913750122683664,0.1304,3,536870956.16667,6.6,-0.2101,0.0224,-0.241666666666667,NA,0.2445,0.842105263157895,0.452179447397848,1,1,0.0125,0.909090909090909,0.734398512162533,0.55048188256318,0.275,4.11550151975684
5.3333,0.0542,0.0275924381428968,0.4632,0.0412552891396333,0.180779396214429,0.1875,6,1073741869.66667,3.37931034482759,0.1059,0.0054,0.0726851851851852,NA,0.2439,0.178571428571429,0.0952607117577424,1.67857142857143,0.7333,0.0253,0.838709677419355,0.662068077257158,0.373878250552983,1.43611111111111,4.07640638119227
4.0667,0.3403,0.143733708750609,0.5946,0.0476022566995769,0.253845511957604,0.4688,15,4294967303.5,3.37931034482759,0.2398,0.0123,0.363042328042328,NA,0.1611,0,0.0952607117577424,1.39285714285714,0.381,0.066,0.548387096774194,0.662068077257158,0.191204444992647,6.44563492063492,4.07640638119227
6,0.1116,0.0895049602739125,0.5,0.0454866008462623,0.0429541542699209,0.25,8,2147483652,3.37931034482759,0.1636,0.0084,0.0557043650793651,NA,0.2403,0.107142857142857,0.0952607117577424,1.53571428571429,0.8214,0.0326,0.774193548387097,0.662068077257158,0.311085508419128,1.44563492063492,4.07640638119227
5.125,0.1061,0.0627465504879798,0.4944,0.0444287729196051,0.219952567761567,0.25,8,2147483652,3.37931034482759,0.1471,0.0076,0.197371031746032,NA,0.1972,0.142857142857143,0.0952607117577424,1.57142857142857,0.6071,0.0345,0.774193548387097,0.662068077257158,0.311085508419128,2.57896825396825,4.07640638119227
4,0.0137,0.0199972408084431,0.3607,0.0334978843441467,0.418961737803439,0.0625,2,268435505.000009,3.37931034482759,0.0071,4e-04,-0.166666666666667,NA,0.3124,0.571428571428571,0.0952607117577424,2.03571428571429,0,0.0125,0.967741935483871,0.662068077257158,0.695608343640252,0.666666666666667,4.07640638119227
3.5,0.0339,0,0.2839,0.0275035260930889,0.581038262196561,0.0625,2,268435505.000009,3.37931034482759,0.002,1e-04,0.0833333333333333,NA,0.3567,0.607142857142857,0.0952607117577424,2.67857142857143,0,0.0152,0.967741935483871,0.662068077257158,0.695608343640252,1.16666666666667,4.07640638119227
5,0.0146,0.0192942217930146,0.4074,0.0370239774330042,0.295785789374977,0.0938,3,536870956.16667,3.37931034482759,0.0407,0.0021,-0.0583333333333333,NA,0.2303,0.392857142857143,0.0952607117577424,1.89285714285714,0.6667,0.0147,0.935483870967742,0.662068077257158,0.558415577316077,0.825,4.07640638119227
4.4444,0.1581,0.115895085921643,0.5366,0.0454866008462623,0.269494293187641,0.2812,9,2147483652.5,3.37931034482759,0.151,0.0078,0.235626102292769,NA,0.1619,0.0714285714285714,0.0952607117577424,1.46428571428571,0.5,0.0392,0.741935483870968,0.662068077257158,0.28711892307137,3.12063492063492,4.07640638119227
4.8,0.1854,0.157997004604923,0.557,0.0476022566995769,0.201445301745235,0.3125,10,2147483653,3.37931034482759,0.1808,0.0093,0.216230158730159,NA,0.1708,0.0357142857142857,0.0952607117577424,1.39285714285714,0.6222,0.0428,0.709677419354839,0.662068077257158,0.266397713833066,3.16230158730159,4.07640638119227
5.3333,0.0988,0.063108145676953,0.4231,0.03737658674189,0.266485777781794,0.0938,3,536870956.16667,3.37931034482759,0.0537,0.0028,-0.0694444444444444,NA,0.1945,0.25,0.0952607117577424,1.85714285714286,0.3333,0.0155,0.935483870967742,0.662068077257158,0.558415577316077,0.791666666666667,4.07640638119227
5.5,0.0346,0.0171844592716152,0.419,0.0377291960507757,0.324153048786245,0.0625,2,268435505.000009,3.37931034482759,0.0321,0.0016,-0.194444444444444,NA,0.1613,0.428571428571429,0.0952607117577424,1.82142857142857,0,0.0114,0.967741935483871,0.662068077257158,0.695608343640252,0.611111111111111,4.07640638119227
6,0.0093,0.0129969418960245,0.4231,0.0377291960507757,0.165465134186339,0.0938,3,536870956.16667,3.37931034482759,0.0573,0.0029,-0.146296296296296,NA,0.262,0.285714285714286,0.0952607117577424,1.82142857142857,1,0.0137,0.935483870967742,0.662068077257158,0.558415577316077,0.561111111111111,4.07640638119227
2,0.0037,0,0.3212,0.0271509167842031,0.675846951213756,0.0625,2,268435505.000009,3.37931034482759,0.0053,3e-04,0,NA,0.2167,0.464285714285714,0.0952607117577424,2.39285714285714,0,0.0128,0.967741935483871,0.662068077257158,0.695608343640252,1,4.07640638119227
4,0.0339,0,0.3929,0.0338504936530324,0.544993671494979,0.0625,2,268435505.000009,3.37931034482759,0.0265,0.0014,0.0714285714285714,NA,0.1626,0.5,0.0952607117577424,2,0,0.0131,0.967741935483871,0.662068077257158,0.695608343640252,1.14285714285714,4.07640638119227
