feature,model,importance,fold
degree_centrality_LL,RandomForestClassifier,0.09977464871117045,0
degree_centrality_HL,RandomForestClassifier,0.09786614682486358,0
PDI_LL,RandomForestClassifier,0.08685315463108355,0
PDI_HL,RandomForestClassifier,0.07673161085090845,0
preferential_attachment,RandomForestClassifier,0.047992028523377986,0
betweenness_centrality_HL,RandomForestClassifier,0.04119839060511319,0
species.specificity.index_LL,RandomForestClassifier,0.040052557411111245,0
nestedrank_HL,RandomForestClassifier,0.03673440952044598,0
betweenness_centrality_LL,RandomForestClassifier,0.03544635666705713,0
degree_LL,RandomForestClassifier,0.03380575868901402,0
shortest_paths_count,RandomForestClassifier,0.0300420144566334,0
pagerank_HL,RandomForestClassifier,0.02927894283952333,0
species.specificity.index_HL,RandomForestClassifier,0.0271570111542466,0
nestedrank_LL,RandomForestClassifier,0.02711311006469946,0
Fisher.alpha_LL,RandomForestClassifier,0.0266710366951294,0
pagerank_LL,RandomForestClassifier,0.0266092937091964,0
shortest_path_length,RandomForestClassifier,0.026061716085854742,0
degree_HL,RandomForestClassifier,0.0243047328702965,0
Fisher.alpha_HL,RandomForestClassifier,0.019719626496365977,0
friends_measure,RandomForestClassifier,0.018433641560953312,0
species.strength_HL,RandomForestClassifier,0.01702673975086884,0
interaction.push.pull_HL,RandomForestClassifier,0.015817589997158932,0
closeness_centrality_LL,RandomForestClassifier,0.015325566108263758,0
species.strength_LL,RandomForestClassifier,0.014053339782393814,0
interaction.push.pull_LL,RandomForestClassifier,0.013883060235925315,0
betweenness_HL,RandomForestClassifier,0.010224283797159424,0
closeness_centrality_HL,RandomForestClassifier,0.00975050981167189,0
node.specialisation.index.NSI_HL,RandomForestClassifier,0.00826494455205757,0
node.specialisation.index.NSI_LL,RandomForestClassifier,0.008131358150467309,0
betweenness_LL,RandomForestClassifier,0.008043380110102338,0
node_redundancy_HL,RandomForestClassifier,0.0046465994795119,0
node_redundancy_LL,RandomForestClassifier,0.004390084337030048,0
closeness_HL,RandomForestClassifier,0.0035748234102918543,0
